# gapseq version: 1.2 54b56c7c
# Sequence DB md5sum:  (, Bacteria)
# Genome format: nucl
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	false	0	4	0	0	
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	false	0	7	0	0	
|1CMET2-PWY|	folate transformations III (E. coli)	false	11	8	0	0	DIHYDROFOLATEREDUCT-RXN 
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	false	0	2	0	0	
|2ASDEG-PWY|	orthanilate degradation	false	0	4	0	0	
|2OXOBUTYRATECAT-PWY|	2-oxobutanoate degradation II	false	0	2	0	0	
|2PHENDEG-PWY|	phenylethylamine degradation I	false	0	2	0	0	
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	false	0	7	0	0	
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	false	0	6	0	0	
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	false	0	3	0	0	
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	false	0	3	0	0	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	false	0	2	0	0	
|ADENOSYLHOMOCYSCAT-PWY|	L-methionine salvage from L-homocysteine	false	0	3	0	0	
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	false	0	4	0	0	
|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	false	0	3	0	0	
|ALADEG-PWY|	L-alanine degradation I	false	0	2	0	0	
|ALANINE-DEG3-PWY|	L-alanine degradation III	false	0	1	0	0	
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	false	0	1	0	0	
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	false	0	2	0	0	
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	false	0	2	0	0	
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	false	0	2	0	0	
|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	false	0	11	0	0	
|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	false	0	3	0	0	
|ARABCAT-PWY|	L-arabinose degradation I	false	0	3	0	0	
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	false	0	3	0	0	
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	false	0	3	0	0	
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	false	0	4	0	0	
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	0	3	0	0	
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	false	0	2	0	0	
|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	false	0	4	0	0	
