"","x"
"1",0
"2",0
"3",-1000
"4",-1000
"5",0
"6",0
"7",0
"8",0
"9",-1000
"10",-1000
"11",-1000
"12",0
"13",-1000
"14",0
"15",-1000
"16",0
"17",0
"18",0
"19",-1000
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",-1000
"28",-1000
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",-1000
"36",-1000
"37",-1000
"38",-1000
"39",0
"40",0
"41",-1000
"42",-1000
"43",-1000
"44",0
"45",0
"46",-1000
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",-1000
"63",-1000
"64",-1000
"65",-1000
"66",-1000
"67",-1000
"68",-1000
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",-1000
"77",0
"78",-1000
"79",-1000
"80",-1000
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",-1000
"88",-1000
"89",0
"90",0
"91",0
"92",0
"93",-1000
"94",0
"95",-1000
"96",-1000
"97",0
"98",-1000
"99",-1000
"100",-1000
"101",0
"102",-1000
"103",0
"104",-1000
"105",-1000
"106",-1000
"107",0
"108",0
"109",-1000
"110",0
"111",0
"112",0
"113",0
"114",0
"115",-1000
"116",-1000
"117",0
"118",0
"119",0
"120",0
"121",0
"122",-1000
"123",0
"124",0
"125",0
"126",-1000
"127",0
"128",-1000
"129",-1000
"130",-1000
"131",0
"132",0
"133",0
"134",0
"135",-1000
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",-1000
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",-1000
"152",0
"153",0
"154",0
"155",0
"156",-1000
"157",-1000
"158",-1000
"159",0
"160",0
"161",0
"162",-1000
"163",-1000
"164",-1000
"165",-1000
"166",-1000
"167",-1000
"168",0
"169",-1000
"170",0
"171",0
"172",0
"173",-1000
"174",0
"175",0
"176",-1000
"177",0
"178",-1000
"179",0
"180",-1000
"181",-1000
"182",0
"183",0
"184",0
"185",0
"186",-1000
"187",-1000
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",-1000
"196",0
