"","charge","chemicalFormula"
"1",0,"H2O"
"2",-3,"HO7P2"
"3",-2,"HO4P"
"4",1,"H"
"5",-1,"C2H3N2O3"
"6",0,"CO2"
"7",1,"H4N"
"8",-1,"C5H7O4"
"9",-1,"C3H3O3"
"10",-2,"C6H6O6"
"11",0,"H2O2"
"12",0,"O2"
"13",0,"C12H22O11"
"14",0,"C6H12O6"
"15",-3,"C10H13N5O14P3"
"16",-4,"C20H24N10O21P4"
"17",-1,"C2HO3"
"18",-1,"C3H3O4"
"19",-1,"C14H21N4O8P2S"
"20",-1,"C12H17N4O7P2S"
"21",0,"C12H22O11"
"22",0,"C18H32O16"
"23",-2,"C6H11O9P"
"24",-2,"C6H12O12P2"
"25",2,"C42H54FeN8O6S2"
"26",3,"C42H54FeN8O6S2"
"27",2,"C4H14N2"
"28",3,"C8H24N3"
"29",0,"C16H28N2O11"
"30",0,"C8H15NO6"
"31",-1,"C21H26N7O14P2"
"32",0,"H3NO"
"33",-2,"C21H27N7O14P2"
"34",0,"H2N2O2"
"35",-4,"C5H8O11P2"
"36",-3,"C3H4O7P"
"37",0,"C3H7NO2"
"38",-1,"NO2"
"39",0,"C3H6O"
"40",0,"C12H22O11"
"41",0,"C6H12O6"
"42",0,"C14H12O2"
"43",0,"C7H6O"
"44",0,"C12H22O11"
"45",-1,"HO3S2"
"46",-2,"O6S4"
"47",0,"C9H11NO3"
"48",0,"C9H11NO4"
"49",0,"C40H56"
"50",0,"C20H28O"
"51",1,"C12H17N4OS"
"52",1,"C12H15N4OS"
"53",-1,"C6H7O6"
"54",-1,"C6H5O6"
"55",0,"C5H9NO3"
"56",-1,"C10H13N2O4"
"57",0,"C3H6O"
"58",0,"C6H12O2"
"59",0,"C18H32O16"
"60",0,"C24H42O21"
"61",1,"C5H14NO"
"62",1,"C5H12NO"
"63",-1,"C9H7O4"
"64",-1,"C8H7O3"
"65",0,"C16H16O4"
"66",0,"C8H8O3"
"67",1,"C20H20NO4"
"68",1,"C20H18NO4"
"69",0,"C9H9NO4"
"70",-1,"C6H4NO3"
"71",0,"C5H5NO2"
"72",-1,"C8H13O5"
"73",-1,"C4H7O3"
"74",0,"C13H16O10"
"75",0,"C20H20O14"
"76",-1,"C14H9O9"
"77",-1,"C7H5O5"
"78",-1,"C16H13O7"
"79",-1,"C8H7O4"
"80",0,"C10H12N4O5"
"81",0,"C10H10N4O5"
"82",0,"C6H6O2"
"83",0,"C6H4O2"
"84",0,"C12H24N2O3"
"85",0,"C6H13NO2"
"86",-2,"C39H42N4O12"
"87",-2,"C33H34N4O6"
"88",-2,"C45H50N4O18"
"89",0,"C17H22O10"
"90",0,"C28H32O14"
"91",-2,"C12H14O12"
"92",-1,"C6H7O6"
"93",-1,"C13H17N4O6"
"94",-1,"C17H19N4O6"
"95",0,"C9H16N4O6"
"96",-1,"C6H7N2O4"
"97",-2,"C6H6N2O3"
"98",-2,"C33H40N4O6"
"99",-2,"C33H38N4O6"
"100",0,"C12H14N4O2S"
"101",-1,"C20H31O5"
"102",-1,"C20H31O6"
"103",0,"C6H7NO"
"104",0,"C12H8N2O2"
"105",1,"C15H23N6O5S"
"106",0,"C11H15N5O3S"
"107",-1,"C12H20N3O6"
"108",2,"Fe"
"109",3,"Fe"
"110",0,"C12H6O4"
"111",-8,"C40H38N4O17"
"112",-3,"C10H13N5O13P3"
"113",-2,"C10H12N5O7P"
"114",-2,"C10H13N5O10P2"
"115",-3,"C10H12N4O14P3"
"116",-1,"C10H11N5O6P"
"117",-4,"C21H32N7O16P3S"
"118",-6,"C42H64N14O32P6S2"
"119",-1,"C5H8NO4"
"120",-2,"C5H4O5"
"121",0,"C5H10N2O3"
"122",-1,"C10H16N3O6S"
"123",-2,"C20H30N6O12S2"
"124",-2,"C6H5O6"
"125",0,"C62H88CoN13O14P"
"126",1,"C62H90CoN13O15P"
"127",-1,"C62H88CoN13O14P"
"128",0,"C6H6N2O"
"129",-2,"C15H21N5O14P2"
"130",-1,"C11H14N2O8P"
"131",-3,"C21H25N7O17P3"
"132",-4,"C21H26N7O17P3"
"133",3,"C33H30FeN4O4"
"134",2,"C33H30FeN4O4"
"135",1,"C6H15N4O3"
"136",0,"C6H13N3O3"
"137",0,"NO"
"138",0,"C3H7NO2S"
"139",0,"C6H12N2O4S2"
"140",-3,"C15H21N5O17P3"
"141",-2,"C10H12N4O11P2"
"142",-4,"C20H24N10O19P4"
"143",-4,"C10H13N5O16P4"
"144",-2,"C21H29N7O15P2"
"145",-2,"C21H33N7O13P2S"
"146",0,"CH4N2O"
"147",-1,"CHO3"
"148",-1,"CHO2"
"149",-4,"HO10P3"
"150",-2,"C10H15N3O11P2"
"151",-3,"C10H15N3O14P3"
"152",-2,"C10H14N3O8P"
"153",-2,"CH2NO5P"
"154",-2,"C9H12N2O12P2"
"155",-2,"C9H11N2O9P"
"156",-3,"C9H12N2O15P3"
"157",-3,"C27H30N9O15P2"
"158",-3,"C17H18N4O9P"
"159",-2,"C8H8NO6P"
"160",0,"C8H9NO3"
"161",0,"C4H9NO3"
"162",0,"C5H11NO2S"
"163",2,"C14H24N6O3S"
"164",0,"C4H7NO2"
"165",1,"C4H8NO2"
"166",-2,"C10H11N4O8P"
"167",-2,"C5H9O8P"
"168",0,"C5H5N5"
"169",0,"C10H13N5O4"
"170",-3,"C20H24N10O16P3"
"171",-3,"C20H24N10O16P3"
"172",-4,"C10H11N5O10P2"
"173",-2,"C21H24N6O15P2"
"174",-4,"C5H9O14P3"
"175",0,"C14H20N6O5S"
"176",0,"C4H9NO2S"
"177",0,"C14H19N5O6S"
"178",0,"C9H17NO6S"
"179",0,"C3H8N2O2"
"180",-1,"C3H5O3"
"181",-1,"C3H5O3"
"182",-3,"C3H2O6P"
"183",0,"C3H4O2"
"184",-2,"C2H3O5P"
"185",-4,"C23H34N7O17P3S"
"186",0,"C4H8N2O4"
"187",-2,"C4H4O5"
"188",-2,"C4H4O5"
"189",-2,"C4H2O5"
"190",-2,"C4O4"
"191",-2,"C4H2O5"
"192",0,"C3H7NO3"
"193",0,"C3H7NO3"
"194",0,"C2H4O"
"195",-1,"C2H3O2"
"196",-5,"C24H33N7O19P3S"
"197",-1,"C12H15N5O8P"
"198",-4,"C26H38N7O20P3S"
"199",-4,"C25H36N7O18P3S"
"200",-2,"C5H8NO7P"
"201",-1,"C5H9NO7P"
"202",-1,"C5H9NO7P"
"203",0,"C5H9NO3"
"204",-1,"C5H6NO3"
"205",-2,"C6H8N2O5"
"206",0,"C3H7NO2"
"207",-2,"C7H9NO5"
"208",-1,"C5H8NO4"
"209",0,"C4H9NO2"
"210",-1,"C5H8NO4"
"211",-1,"C5H5O4"
"212",-5,"C25H35N7O19P3S"
"213",-3,"C6H5O7"
"214",-3,"C6H3O7"
"215",-1,"C5H6NO4"
"216",-1,"C5H6NO4"
"217",-3,"C7H7O7"
"218",-1,"C4H5O3"
"219",-2,"C2O4"
"220",-1,"O2"
"221",-1,"C8H12N2O5P"
"222",-2,"C8H10NO6P"
"223",-2,"C15H22N2O17P2"
"224",-3,"C15H19N2O18P2"
"225",-2,"C15H22N2O17P2"
"226",-2,"C15H20N2O16P2"
"227",-2,"C6H11O9P"
"228",0,"C6H10O6"
"229",0,"C6H10O6"
"230",0,"C6H10O6"
"231",0,"C6H12O6"
"232",-2,"C34H32N4O4"
"233",-2,"C34H30FeN4O4"
"234",-3,"C2H2O5P"
"235",0,"C2H5NO"
"236",-1,"C5H5O4"
"237",-2,"C5H6O5"
"238",0,"C8H14O7"
"239",-2,"C10H13N5O11P2"
"240",-2,"C10H12N5O8P"
"241",-2,"C5H9O10P2R"
"242",-3,"C5H9O13P3R"
"243",-5,"C10H12N5O17P4"
"244",-2,"C16H23N5O16P2"
"245",-2,"C4H4O6"
"246",-1,"C4H6NO5"
"247",-1,"C4H4NO4"
"248",-3,"C7H5O8"
"249",-3,"C6H5O7"
"250",-5,"C27H37N7O22P3S"
"251",-1,"C4H6NO4"
"252",-1,"C4H6NO4"
"253",0,"C2H5NO2"
"254",0,"C3H7NO2"
"255",-1,"C5H8NO4"
"256",0,"C4H7NO3"
"257",0,"C4H7NO3"
"258",-1,"C6H10NO4"
"259",0,"C5H9NO3"
"260",0,"C3H7NO2"
"261",-2,"C4H4O4"
"262",-2,"C4H2O4"
"263",-5,"C25H35N7O20P3S"
"264",-2,"C27H33N9O15P2"
"265",-3,"C7H7O7"
"266",-1,"C4H5O3"
"267",-3,"C9H10NO7"
"268",-2,"C17H25N3O17P2"
"269",0,"C8H15NO6"
"270",-2,"C8H14NO9P"
"271",-2,"C17H25N3O17P2"
"272",-2,"C17H25N3O17P2"
"273",-3,"C17H22N3O18P2"
"274",-4,"C9H12N5O13P3"
"275",-2,"C9H14N5O8P"
"276",-4,"C10H14N5O15P3"
"277",-6,"C10H12N5O20P5"
"278",-1,"C10H11N5O7P"
"279",1,"C6H15N2O2"
"280",-1,"C6H8NO2"
"281",0,"C6H11NO3"
"282",0,"C6H11NO3"
"283",0,"C6H14N2O3"
"284",1,"C5H13N2O"
"285",0,"C7H14N2O4"
"286",0,"C9H18N2O4"
"287",0,"C6H11NO3"
"288",0,"C8H16N2O3"
"289",0,"C6H11NO2"
"290",1,"C6H15N2O2"
"291",1,"C6H15N2O2"
"292",2,"C5H16N2"
"293",1,"C6H13N2O"
"294",-1,"C2H3O3"
"295",-4,"C23H32N7O19P3S"
"296",-1,"C3H5N2O4"
"297",-2,"C5H4O6"
"298",-2,"C6H6O6"
"299",-3,"C6H3O8"
"300",-2,"C4H6NO7P"
"301",-2,"C4H3NO4"
"302",0,"C4H8N2O3"
"303",-2,"C5H6N2O5"
"304",0,"C4H6N2O2"
"305",-2,"C6H7NO5"
"306",0,"C3H7NO2"
"307",0,"C5H10N2O3S"
"308",-1,"C8H13N2O5S"
"309",-2,"C14H19N3O9S"
"310",-3,"C15H19N2O18P2"
"311",-2,"C6H11O9P"
"312",0,"C12H22O11"
"313",-3,"C23H35N3O25P3"
"314",-2,"C15H22N2O17P2"
"315",-4,"C10H11N5O13P2S"
"316",-2,"O4S"
"317",-2,"C10H12N5O10PS"
"318",-2,"C9H12N3O8P"
"319",0,"C4H5N3O"
"320",0,"C9H13N3O5"
"321",-2,"C9H13N3O11P2"
"322",-3,"C9H13N3O14P3"
"323",-1,"CH2O5P"
"324",-3,"C22H33N7O17P3S"
"325",0,"CH3NO"
"326",-2,"C6H7NO5"
"327",-2,"C5H5NO5"
"328",-1,"C11H16N3O7S"
"329",-1,"HO3S"
"330",-1,"C3H6NO6S"
"331",-1,"C6H11O9S"
"332",0,"C18H24O2"
"333",-1,"C18H23O5S"
"334",0,"C19H24O3"
"335",-1,"C19H23O6S"
"336",0,"C19H26O3"
"337",-1,"C19H25O6S"
"338",0,"CNR"
"339",-1,"CO2R"
"340",-2,"C5H4NO5R"
"341",1,"C6H15N4O2"
"342",1,"C5H13N2O2"
"343",-1,"C6H14N4O5P"
"344",-1,"C21H34N9O15P2"
"345",0,"C6H11N3O3"
"346",1,"C5H13N4O"
"347",0,"C9H18N4O4"
"348",-1,"C11H19N4O6"
"349",0,"C3H7N3O2"
"350",2,"C5H16N4"
"351",1,"C6H15N4O2"
"352",-1,"C9H11N3O7P"
"353",0,"C5H10N2O3"
"354",0,"C13H19N6O9P"
"355",-1,"C3H3O4"
"356",-2,"C3H6NO6P"
"357",0,"C5H9NO4"
"358",0,"C3H5NO2"
"359",0,"CH4O"
"360",0,"CH2O"
"361",0,"CH2Cl2"
"362",-1,"Cl"
"363",1,"CH6N"
"364",0,"null"
"365",-1,"null"
"366",1,"C7H17N2O2"
"367",-1,"C12H16N4O4PS"
"368",-2,"C12H17N4O10P3S"
"369",-2,"C16H22N4O10P2S"
"370",-2,"C16H22N4O10P2S"
"371",0,"C6H10O6"
"372",-1,"C4H7O5"
"373",0,"C6H8O6"
"374",-1,"C5H7O3S"
"375",1,"C6H14NO2S"
"376",0,"CH4S"
"377",0,"C6H11NO4"
"378",-1,"C6H10NO3S"
"379",-1,"C4H5O3"
"380",0,"C5H11NO2S"
"381",1,"C4H12NS"
"382",-3,"C3H4O7P"
"383",-3,"C20H26N3O19P2"
"384",-3,"C3H2O6P"
"385",-4,"C28H36N7O17P3S"
"386",-1,"C19H19N2O4"
"387",0,"C8H16N2O4"
"388",-1,"C5H6NO2"
"389",0,"C7H14N2O3"
"390",0,"C5H9NO2"
"391",1,"C5H13N2O2"
"392",0,"C11H12N2O2"
"393",0,"C8H7N"
"394",-1,"C11H8NO3"
"395",0,"C11H12N2O4"
"396",0,"C10H10N2O"
"397",0,"C10H9NO2"
"398",1,"C11H14N3O"
"399",0,"C12H14N2O2"
"400",1,"C10H13N2"
"401",0,"C9H11NO2"
"402",0,"C9H11NO2"
"403",-2,"C19H21N6O8P"
"404",-1,"C9H7O3"
"405",0,"C8H9NO"
"406",-1,"C10H12NO5"
"407",-1,"C11H12NO3"
"408",-1,"C9H7O2"
"409",1,"C8H12N"
"410",-2,"C15H26O7P2"
"411",-2,"C30H50O7P2"
"412",-1,"C3H3O3"
"413",-1,"C5H6NO2"
"414",-1,"C11H19N2O6"
"415",-4,"C10H12N4O17P4"
"416",0,"C6H6O"
"417",-1,"C9H10NO4"
"418",1,"C15H24N5O4"
"419",1,"C8H12NO"
"420",-1,"C9H7O3"
"421",0,"C9H11NO3"
"422",-2,"C3H2O4"
"423",-3,"C24H35N7O18P3S"
"424",0,"C2H6O"
"425",-1,"C2H4O4P"
"426",-1,"C2H7NO4P"
"427",1,"C2H8NO"
"428",-1,"C5H7O4"
"429",0,"C4H9NO3"
"430",-2,"C6H11O9P"
"431",-4,"C6H10O12P2"
"432",-2,"C6H13O9P"
"433",-2,"C4H7O7P"
"434",-2,"C6H12O12P2"
"435",-1,"C6H13NO8P"
"436",-2,"C12H21O14P"
"437",-2,"C6H11O9P"
"438",-1,"C5H8N3O4"
"439",0,"CH2N2"
"440",0,"S"
"441",-1,"HS"
"442",0,"H2O"
"443",0,"NO"
"444",-1,"NO2"
"445",-1,"NO3"
"446",0,"C2H5NO2"
"447",0,"C12H20O11"
"448",0,"C18H32O16"
"449",0,"C12H22O11"
"450",0,"C6H8O2"
"451",-1,"C7H7O4"
"452",0,"C6H8O2"
"453",-1,"C6H5O4"
"454",-2,"C6H4O4"
"455",-1,"C7H5O3"
"456",-1,"C7H7O4"
"457",-1,"C7H5O4"
"458",-1,"C7H5O4"
"459",-1,"C7H6NO2"
"460",0,"C7H8O2"
"461",-5,"C27H37N7O20P3S"
"462",-1,"C6H8NO5"
"463",-1,"C10H17N4O5"
"464",-5,"C25H35N7O19P3S"
"465",-2,"C6H13O9P"
"466",-2,"C6H9O9P"
"467",-2,"C12H21O14P"
"468",-2,"C12H21O14P"
"469",-2,"C12H21O14P"
"470",-2,"C6H11O9P"
"471",-2,"C3H7O6P"
"472",0,"C3H8O3"
"473",-2,"C3H5O6P"
"474",-2,"C3H5O6P"
"475",-1,"C9H18O11P"
"476",-1,"C9H18O11P"
"477",-2,"C12H19N3O13P2"
"478",0,"C6H14O6"
"479",-2,"C6H11O9P"
"480",0,"C6H10O6"
"481",-1,"C6H12O9P"
"482",0,"C6H14O6"
"483",0,"C6H12O6"
"484",-2,"C16H23N5O16P2"
"485",-3,"C16H20N5O17P2"
"486",-2,"C6H11O9P"
"487",-2,"C16H21N5O15P2"
"488",-2,"C16H23N5O16P2"
"489",-1,"C3H6NO4S"
"490",-1,"C3H3O3S"
"491",-1,"C3H6NO5S"
"492",0,"C3H7NO2S"
"493",1,"C3H8NO"
"494",-1,"C4H7N2O3"
"495",-1,"C6H10NO4"
"496",-1,"C5H8NO3"
"497",1,"C9H20N3O3"
"498",1,"C9H20N5O3"
"499",0,"C4H9N3O2"
"500",-2,"C24H39N8O17P3S"
"501",-3,"C24H35N7O17P3S"
"502",-4,"C24H36N7O17P3S"
"503",-1,"C3H5O2"
"504",-2,"C3H5O5P"
"505",-1,"C4H5O3"
"506",-5,"C25H35N7O19P3S"
"507",-1,"C13H17N5O8P"
"508",-4,"C26H38N7O18P3S"
"509",-3,"C7H7O7"
"510",-2,"C5H6O5"
"511",-4,"C26H38N7O20P3S"
"512",-2,"C19H21N7O6"
"513",-2,"C19H19N7O6"
"514",-2,"C20H21N7O7"
"515",-3,"C24H27N8O9"
"516",-2,"C20H21N7O6"
"517",-2,"C20H23N7O6"
"518",-2,"C16H23N5O15P2"
"519",-2,"C6H12O12P2"
"520",0,"C12H22O11"
"521",-2,"C15H23N3O16P2"
"522",0,"C9H12N2O6"
"523",-3,"C10H10N2O11P"
"524",0,"C4H4N2O2"
"525",-4,"C18H22N4O23P4"
"526",-1,"C5H3N2O4"
"527",0,"C4H6N2O2"
"528",-2,"C17H17N6O8P"
"529",-3,"C28H38N8O17P3S"
"530",0,"C8H7NO2"
"531",-1,"C8H8NO2"
"532",-2,"C10H8O6"
"533",0,"C10H12N2O3"
"534",-1,"C8H6NO3"
"535",-2,"C10H7NO5"
"536",0,"C6H7N"
"537",-2,"C5H6O5"
"538",-2,"C5H4O5"
"539",-2,"C6H8O5"
"540",-1,"C8H12NO6"
"541",-1,"C4H7O3"
"542",0,"C7H14N2O4S"
"543",0,"C3H6O3"
"544",-1,"C4H8O7P"
"545",-3,"C14H3N2O8"
"546",-3,"C14H5N2O8"
"547",-1,"C5H13NO4P"
"548",1,"C7H16NO2"
"549",0,"C5H13NO4S"
"550",1,"C6H13NO2R"
"551",0,"C8H20NO6P"
"552",0,"C3H6O3"
"553",-1,"C3H8O6P"
"554",0,"C3H6O2"
"555",0,"C3H6O2"
"556",-2,"C5H10O11P2"
"557",0,"C5H10O5"
"558",-1,"C5H11NO7P"
"559",-2,"C9H11N2O9P"
"560",-2,"C5H9O8P"
"561",-2,"C5H9O8P"
"562",-4,"C3H4O10P2"
"563",-3,"C6H8O9P"
"564",-2,"C5H9O7P"
"565",-2,"C5H9O8P"
"566",-4,"C6H10O12P2"
"567",-5,"C15H20N5O20P4"
"568",-3,"C12H13NO9P"
"569",-1,"C10H15N2O3S"
"570",-1,"C20H27N7O9PS"
"571",-3,"C31H47N9O18P3S2"
"572",0,"C10H17N3O2S"
"573",0,"C16H28N4O4S"
"574",0,"C5H10O5"
"575",-4,"C14H14N5O11P"
"576",-2,"C7H4O6"
"577",-1,"C10H17N4O6"
"578",-2,"C4H2O4"
"579",0,"C6H13NO2"
"580",-1,"C6H9O3"
"581",-1,"C8H14NO3"
"582",0,"C6H13NO2"
"583",0,"C6H12O6"
"584",0,"C6H10O6"
"585",0,"C6H10O6"
"586",-1,"C6H11O7"
"587",0,"C6H10O6"
"588",0,"C12H22O11"
"589",0,"C9H18O8"
"590",0,"C6H12N2O4S2"
"591",0,"C3H7NO2S"
"592",-4,"C31H47N10O22P3S2"
"593",-1,"C11H18NO9"
"594",-2,"C20H29N4O16P"
"595",-3,"C6H11O10P2"
"596",-2,"C5H10O7P2"
"597",-2,"C5H10O7P2"
"598",-2,"C10H13N4O9P"
"599",0,"C5H4N4O"
"600",-2,"C10H11N4O9P"
"601",-2,"C10H13N5O9P2"
"602",-3,"C10H13N5O12P3"
"603",0,"CH4"
"604",-1,"C5H5O5"
"605",-1,"CH3O4S"
"606",-1,"C8H13N2O5"
"607",0,"C6H12N2O3"
"608",1,"C4H10NO"
"609",1,"C5H14N3O"
"610",2,"C5H16N2"
"611",1,"C6H15N2O"
"612",1,"C6H12N3O"
"613",0,"C6H9N3O2"
"614",0,"C7H11N3O2"
"615",-1,"C8H10N3O3"
"616",-1,"C6H5N2O3"
"617",1,"C6H10N3O"
"618",0,"C9H14N4O3"
"619",1,"C5H10N3"
"620",-1,"C6H5N2O2"
"621",-4,"C25H38N7O17P3S"
"622",-4,"C25H36N7O17P3S"
"623",0,"C4H8O"
"624",-2,"C4H7O5P"
"625",-1,"C4H7O2"
"626",-4,"C27H40N7O18P3S"
"627",-2,"C6H8O5"
"628",-4,"C25H38N7O17P3S"
"629",0,"C6H12O6"
"630",0,"C6H10O6"
"631",-1,"C6H9O7"
"632",-2,"C6H11O9P"
"633",-2,"C6H11O9P"
"634",0,"C7H14O6"
"635",0,"C7H14O6"
"636",0,"C7H14O6"
"637",0,"C7H14O6"
"638",0,"C12H22O11"
"639",-1,"C9H18O11P"
"640",1,"C6H14NO5"
"641",-2,"C8H14NO9P"
"642",-1,"C8H14NO7"
"643",0,"C14H25NO11"
"644",-1,"C5H9O4"
"645",-1,"C5H7O3"
"646",-2,"C6H8O5"
"647",0,"C5H11NO2"
"648",-2,"C7H10O5"
"649",-1,"C6H9O4"
"650",-1,"C20H20N7O6"
"651",0,"C4H9NO3"
"652",0,"C10H13N5O5"
"653",0,"C5H5N5O"
"654",-1,"C7H5O3"
"655",0,"C7H8O"
"656",0,"C12H16O6"
"657",0,"C8H8O2"
"658",-1,"C6H5O4S"
"659",-1,"C5H6NO2"
"660",0,"C5H9NO3"
"661",0,"C5H9NO2"
"662",0,"C12H21N3O8"
"663",-1,"C6H4NO2"
"664",1,"C7H9N2O"
"665",1,"C11H15N2O5"
"666",-4,"C37H62N7O17P3S"
"667",-1,"C16H31O2"
