"","x"
"1","cpd00001[c0]"
"2","cpd00012[c0]"
"3","cpd00009[c0]"
"4","cpd00067[c0]"
"5","cpd00742[c0]"
"6","cpd00011[c0]"
"7","cpd00013[c0]"
"8","cpd00668[c0]"
"9","cpd00020[c0]"
"10","cpd02570[c0]"
"11","cpd00025[c0]"
"12","cpd00007[c0]"
"13","cpd00794[c0]"
"14","cpd00027[c0]"
"15","cpd00038[c0]"
"16","cpd00925[c0]"
"17","cpd00040[c0]"
"18","cpd00843[c0]"
"19","cpd03049[c0]"
"20","cpd00056[c0]"
"21","cpd00076[c0]"
"22","cpd02298[c0]"
"23","cpd00089[c0]"
"24","cpd00499[c0]"
"25","cpd00110[c0]"
"26","cpd00109[c0]"
"27","cpd00118[c0]"
"28","cpd03802[c0]"
"29","cpd01157[c0]"
"30","cpd00122[c0]"
"31","cpd00003[c0]"
"32","cpd00165[c0]"
"33","cpd00004[c0]"
"34","cpd01252[c0]"
"35","cpd00871[c0]"
"36","cpd00169[c0]"
"37","cpd01433[c0]"
"38","cpd00075[c0]"
"39","cpd00178[c0]"
"40","cpd00158[c0]"
"41","cpd00190[c0]"
"42","cpd01008[c0]"
"43","cpd00225[c0]"
"44","cpd00179[c0]"
"45","cpd00268[c0]"
"46","cpd01414[c0]"
"47","cpd00069[c0]"
"48","cpd00291[c0]"
"49","cpd01420[c0]"
"50","cpd00304[c0]"
"51","cpd00305[c0]"
"52","cpd03484[c0]"
"53","cpd00059[c0]"
"54","cpd00335[c0]"
"55","cpd00338[c0]"
"56","cpd00689[c0]"
"57","cpd00371[c0]"
"58","cpd01891[c0]"
"59","cpd00382[c0]"
"60","cpd02464[c0]"
"61","cpd00098[c0]"
"62","cpd00447[c0]"
"63","cpd00868[c0]"
"64","cpd00489[c0]"
"65","cpd02768[c0]"
"66","cpd00561[c0]"
"67","cpd01238[c0]"
"68","cpd00563[c0]"
"69","cpd00612[c0]"
"70","cpd00752[c0]"
"71","cpd00778[c0]"
"72","cpd02767[c0]"
"73","cpd00797[c0]"
"74","cpd00852[c0]"
"75","cpd02532[c0]"
"76","cpd01108[c0]"
"77","cpd01020[c0]"
"78","cpd01843[c0]"
"79","cpd01265[c0]"
"80","cpd00246[c0]"
"81","cpd01365[c0]"
"82","cpd00077[c0]"
"83","cpd01569[c0]"
"84","cpd00921[c0]"
"85","cpd01588[c0]"
"86","cpd02141[c0]"
"87","cpd00376[c0]"
"88","cpd03428[c0]"
"89","cpd00865[c0]"
"90","cpd02622[c0]"
"91","cpd02883[c0]"
"92","cpd02508[c0]"
"93","cpd02656[c0]"
"94","cpd00220[c0]"
"95","cpd02882[c0]"
"96","cpd03299[c0]"
"97","cpd02311[c0]"
"98","cpd03431[c0]"
"99","cpd03434[c0]"
"100","cpd01852[c0]"
"101","cpd00336[c0]"
"102","cpd03545[c0]"
"103","cpd01360[c0]"
"104","cpd01462[c0]"
"105","cpd00017[c0]"
"106","cpd00147[c0]"
"107","cpd03158[c0]"
"108","cpd10515[c0]"
"109","cpd10516[c0]"
"110","cpd02409[c0]"
"111","cpd00755[c0]"
"112","cpd00002[c0]"
"113","cpd00018[c0]"
"114","cpd00008[c0]"
"115","cpd00068[c0]"
"116","cpd00446[c0]"
"117","cpd00010[c0]"
"118","cpd01378[c0]"
"119","cpd00023[c0]"
"120","cpd00024[c0]"
"121","cpd00053[c0]"
"122","cpd00042[c0]"
"123","cpd00111[c0]"
"124","cpd00766[c0]"
"125","cpd00423[c0]"
"126","cpd00730[c0]"
"127","cpd00635[c0]"
"128","cpd00133[c0]"
"129","cpd00251[c0]"
"130","cpd00355[c0]"
"131","cpd00006[c0]"
"132","cpd00005[c0]"
"133","cpd00685[c0]"
"134","cpd00686[c0]"
"135","cpd03527[c0]"
"136","cpd00274[c0]"
"137","cpd00418[c0]"
"138","cpd00084[c0]"
"139","cpd00381[c0]"
"140","cpd02079[c0]"
"141","cpd00090[c0]"
"142","cpd00924[c0]"
"143","cpd02198[c0]"
"144","cpd02951[c0]"
"145","cpd00655[c0]"
"146","cpd00073[c0]"
"147","cpd00242[c0]"
"148","cpd00047[c0]"
"149","cpd00421[c0]"
"150","cpd07923[c0]"
"151","cpd07924[c0]"
"152","cpd02480[c0]"
"153","cpd00146[c0]"
"154","cpd00014[c0]"
"155","cpd00091[c0]"
"156","cpd00062[c0]"
"157","cpd00015[c0]"
"158","cpd00050[c0]"
"159","cpd00016[c0]"
"160","cpd00215[c0]"
"161","cpd00227[c0]"
"162","cpd00060[c0]"
"163","cpd00837[c0]"
"164","cpd00909[c0]"
"165","cpd01873[c0]"
"166","cpd00114[c0]"
"167","cpd00101[c0]"
"168","cpd00128[c0]"
"169","cpd00182[c0]"
"170","cpd02644[c0]"
"171","cpd03705[c0]"
"172","cpd00045[c0]"
"173","cpd00638[c0]"
"174","cpd00103[c0]"
"175","cpd00019[c0]"
"176","cpd00135[c0]"
"177","cpd02171[c0]"
"178","cpd02227[c0]"
"179","cpd03828[c0]"
"180","cpd00159[c0]"
"181","cpd00221[c0]"
"182","cpd00061[c0]"
"183","cpd00428[c0]"
"184","cpd00196[c0]"
"185","cpd00022[c0]"
"186","cpd01933[c0]"
"187","cpd00130[c0]"
"188","cpd00386[c0]"
"189","cpd00032[c0]"
"190","cpd02080[c0]"
"191","cpd02469[c0]"
"192","cpd00054[c0]"
"193","cpd00550[c0]"
"194","cpd00071[c0]"
"195","cpd00029[c0]"
"196","cpd00070[c0]"
"197","cpd03566[c0]"
"198","cpd00743[c0]"
"199","cpd00279[c0]"
"200","cpd02097[c0]"
"201","cpd02339[c0]"
"202","cpd03413[c0]"
"203","cpd00858[c0]"
"204","cpd01293[c0]"
"205","cpd03460[c0]"
"206","cpd00035[c0]"
"207","cpd00477[c0]"
"208","cpd00186[c0]"
"209","cpd00281[c0]"
"210","cpd02273[c0]"
"211","cpd00340[c0]"
"212","cpd00078[c0]"
"213","cpd00260[c0]"
"214","cpd03187[c0]"
"215","cpd00695[c0]"
"216","cpd03303[c0]"
"217","cpd00919[c0]"
"218","cpd00199[c0]"
"219","cpd00180[c0]"
"220","cpd00532[c0]"
"221","cpd00493[c0]"
"222","cpd00478[c0]"
"223","cpd00026[c0]"
"224","cpd00144[c0]"
"225","cpd00043[c0]"
"226","cpd02528[c0]"
"227","cpd00079[c0]"
"228","cpd00170[c0]"
"229","cpd01992[c0]"
"230","cpd01792[c0]"
"231","cpd00082[c0]"
"232","cpd01476[c0]"
"233","cpd00028[c0]"
"234","cpd03385[c0]"
"235","cpd03734[c0]"
"236","cpd01443[c0]"
"237","cpd01701[c0]"
"238","cpd01726[c0]"
"239","cpd00031[c0]"
"240","cpd00126[c0]"
"241","cpd00354[c0]"
"242","cpd00173[c0]"
"243","cpd00905[c0]"
"244","cpd00315[c0]"
"245","cpd00666[c0]"
"246","cpd02458[c0]"
"247","cpd01577[c0]"
"248","cpd02544[c0]"
"249","cpd00137[c0]"
"250","cpd00442[c0]"
"251","cpd00041[c0]"
"252","cpd00320[c0]"
"253","cpd00033[c0]"
"254","cpd00183[c0]"
"255","cpd02373[c0]"
"256","cpd02053[c0]"
"257","cpd02211[c0]"
"258","cpd02051[c0]"
"259","cpd02121[c0]"
"260","cpd00117[c0]"
"261","cpd00036[c0]"
"262","cpd00106[c0]"
"263","cpd02662[c0]"
"264","cpd00982[c0]"
"265","cpd02799[c0]"
"266","cpd00142[c0]"
"267","cpd03525[c0]"
"268","cpd00037[c0]"
"269","cpd00492[c0]"
"270","cpd02611[c0]"
"271","cpd00175[c0]"
"272","cpd00861[c0]"
"273","cpd02782[c0]"
"274","cpd02978[c0]"
"275","cpd00957[c0]"
"276","cpd03518[c0]"
"277","cpd02740[c0]"
"278","cpd00697[c0]"
"279","cpd00039[c0]"
"280","cpd00922[c0]"
"281","cpd01046[c0]"
"282","cpd02074[c0]"
"283","cpd00757[c0]"
"284","cpd00729[c0]"
"285","cpd00516[c0]"
"286","cpd02490[c0]"
"287","cpd02522[c0]"
"288","cpd01770[c0]"
"289","cpd00323[c0]"
"290","cpd00549[c0]"
"291","cpd00840[c0]"
"292","cpd01155[c0]"
"293","cpd01832[c0]"
"294","cpd00139[c0]"
"295","cpd00262[c0]"
"296","cpd00465[c0]"
"297","cpd00830[c0]"
"298","cpd02056[c0]"
"299","cpd01363[c0]"
"300","cpd01977[c0]"
"301","cpd03470[c0]"
"302","cpd00132[c0]"
"303","cpd00343[c0]"
"304","cpd01651[c0]"
"305","cpd00767[c0]"
"306","cpd00085[c0]"
"307","cpd01017[c0]"
"308","cpd00506[c0]"
"309","cpd02029[c0]"
"310","cpd00472[c0]"
"311","cpd00348[c0]"
"312","cpd00208[c0]"
"313","cpd02887[c0]"
"314","cpd02338[c0]"
"315","cpd00044[c0]"
"316","cpd00048[c0]"
"317","cpd00193[c0]"
"318","cpd00046[c0]"
"319","cpd00307[c0]"
"320","cpd00367[c0]"
"321","cpd00096[c0]"
"322","cpd00052[c0]"
"323","cpd01598[c0]"
"324","cpd00592[c0]"
"325","cpd00378[c0]"
"326","cpd00770[c0]"
"327","cpd00769[c0]"
