"","x"
"1","diphosphate phosphohydrolase"
"2","urea-1-carboxylate amidohydrolase"
"3","pyruvate:pyruvate acetaldehydetransferase (decarboxylating)"
"4","4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)"
"5","hydrogen-peroxide:hydrogen-peroxide oxidoreductase"
"6","alpha,alpha-trehalose glucohydrolase"
"7","GTP:GTP guanylyltransferase"
"8","glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)"
"9","pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)"
"10","sucrose:sucrose 1'-beta-D-fructosyltransferase"
"11","D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase"
"12","ferrocytochrome-c:hydrogen-peroxide oxidoreductase"
"13","putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)"
"14","chitobiose N-acetylglucosaminohydrolase"
"15","hydroxylamine:NAD+ oxidoreductase"
"16","3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)"
"17","2-Nitropropane:oxygen 2-oxidoreductase"
"18","cellobiose glucohydrolase"
"19","2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)"
"20","maltose glucohydrolase"
"21","thiosulfate:ferricytochrome-c oxidoreductase"
"22","1,2-Benzenediol:oxygen oxidoreductase"
"23","beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"
"24","thiamine:oxygen 5-oxidoreductase"
"25","L-ascorbate:oxygen oxidoreductase"
"26","5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)"
"27","4-hydroxy-3-hexanone propanal-lyase (propanal-forming)"
"28","raffinose:raffinose 1F-alpha-D-galactosyltransferase"
"29","Choline:oxygen 1-oxidoreductase"
"30","4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)"
"31","1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)"
"32","columbamine:oxygen oxidoreductase (cyclizing)"
"33","3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase"
