,add_COBALT2tpp,add_FE2tpp,add_GLYC2Pabcpp,rep_CAt6pp,rep_CBPS,rep_PIuabcpp,rxn00801_c0
Model_1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_6,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_13,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_14,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_19,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_21,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_22,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_23,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_24,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_25,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Model_26,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_27,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_29,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_30,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_31,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_32,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_33,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_34,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Model_35,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_37,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_38,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_39,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_40,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_41,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_42,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_43,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_44,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_45,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_46,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_47,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_48,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_50,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_51,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_52,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_53,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_54,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_55,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_56,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_57,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_58,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_59,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_60,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_62,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_63,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_64,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_65,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_66,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_67,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_69,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_70,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_71,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_72,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_74,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_75,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_76,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_77,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_78,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_79,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_80,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_81,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_82,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_83,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_84,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_85,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_86,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_87,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_88,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Model_89,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_90,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_91,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_92,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_93,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_94,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_95,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_96,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_97,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_98,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_99,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_100,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_101,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_102,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Model_105,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_106,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_107,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_108,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_109,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_110,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_111,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_112,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_113,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_114,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_115,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Model_116,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_117,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_118,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_119,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_120,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Model_121,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_122,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_123,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_124,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_126,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_127,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Model_128,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
