,904306.3.peg.244,904306.3.peg.90,904306.3.peg.1884,904306.3.peg.752,904306.3.peg.1830,904306.3.peg.135,904306.3.peg.353,904306.3.peg.240,904306.3.peg.1338,904306.3.peg.1927,904306.3.peg.1979
Streptococcus vestibularis_gapfilled_35,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_115,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_169,True,False,True,False,True,False,False,False,True,True,False
Streptococcus vestibularis_gapfilled_847,True,False,True,True,True,True,False,True,False,True,True
Streptococcus vestibularis_gapfilled_181,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_638,True,False,True,True,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_102,False,False,True,True,True,False,False,False,False,True,True
Streptococcus vestibularis_gapfilled_78,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_95,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_92,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_922,True,True,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_516,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_532,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_570,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_257,False,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_503,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_137,True,False,True,True,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_324,True,False,True,True,True,True,False,True,False,True,False
Streptococcus vestibularis_gapfilled_854,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_522,True,False,True,True,True,False,False,False,False,True,True
Streptococcus vestibularis_gapfilled_170,True,False,False,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_780,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_376,True,False,True,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_135,False,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_761,True,False,True,True,True,True,True,False,False,True,False
Streptococcus vestibularis_gapfilled_547,True,False,True,False,True,False,False,False,True,True,False
Streptococcus vestibularis_gapfilled_549,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_527,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_849,False,False,False,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_600,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_769,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_624,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_696,True,False,True,True,False,False,False,False,False,False,True
Streptococcus vestibularis_gapfilled_399,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_481,True,False,True,True,True,False,False,False,False,True,True
Streptococcus vestibularis_gapfilled_840,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_328,False,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_951,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_151,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_565,False,False,True,True,True,False,False,False,False,True,True
Streptococcus vestibularis_gapfilled_794,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_701,False,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_824,False,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_45,False,False,False,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_422,False,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_243,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_377,True,False,True,True,True,False,False,True,False,True,True
Streptococcus vestibularis_gapfilled_712,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_812,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_230,True,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_179,True,False,True,True,False,True,True,False,False,False,True
Streptococcus vestibularis_gapfilled_152,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_639,True,True,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_253,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_774,True,False,True,True,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_886,True,False,True,True,False,False,False,False,True,False,False
Streptococcus vestibularis_gapfilled_751,True,False,True,True,True,False,False,True,False,True,True
Streptococcus vestibularis_gapfilled_711,True,False,True,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_743,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_574,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_89,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_917,True,True,True,True,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_321,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_925,True,False,True,True,False,True,True,False,False,False,False
Streptococcus vestibularis_gapfilled_858,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_550,True,False,True,True,False,False,False,True,False,False,False
Streptococcus vestibularis_gapfilled_642,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_449,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_280,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_232,True,False,True,True,True,False,False,True,False,True,False
Streptococcus vestibularis_gapfilled_590,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_100,False,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_347,True,False,True,True,False,True,False,False,False,False,True
Streptococcus vestibularis_gapfilled_424,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_664,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_631,True,False,True,True,False,True,False,False,True,False,False
Streptococcus vestibularis_gapfilled_206,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_891,True,False,False,True,False,False,False,False,False,False,False
Streptococcus vestibularis_gapfilled_298,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_583,False,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_888,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_211,True,False,True,True,True,False,False,True,False,True,True
Streptococcus vestibularis_gapfilled_129,False,False,True,True,False,False,False,True,False,False,True
Streptococcus vestibularis_gapfilled_282,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_472,True,False,True,True,True,True,False,False,False,True,False
Streptococcus vestibularis_gapfilled_340,True,False,True,True,True,False,False,True,False,True,False
Streptococcus vestibularis_gapfilled_293,True,False,True,True,True,True,False,True,False,True,True
Streptococcus vestibularis_gapfilled_260,False,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_463,True,False,True,True,False,True,False,False,True,False,True
Streptococcus vestibularis_gapfilled_836,True,False,True,True,True,True,False,False,False,True,True
Streptococcus vestibularis_gapfilled_720,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_254,True,False,True,True,False,True,False,True,False,False,True
Streptococcus vestibularis_gapfilled_920,True,False,True,False,True,False,False,False,False,True,False
Streptococcus vestibularis_gapfilled_199,True,False,True,True,True,False,False,True,False,True,False
Streptococcus vestibularis_gapfilled_865,True,False,True,True,False,True,False,True,False,False,False
Streptococcus vestibularis_gapfilled_512,True,False,True,True,False,True,False,False,False,False,False
Streptococcus vestibularis_gapfilled_131,False,False,True,True,True,True,False,False,False,True,True
